"id","ticker","period_ending","quarter","total_revenue","cost_of_revenue","gross_profit","operating_expense","operating_income","net_income","basic_eps","diluted_eps","ebitda","created_at"
129,"CMCSA","2024-09-30","2024-Q3","32070000000","10216000000","21854000000","15995000000","5859000000","3629000000","0.9464","0.9400","9734000000","2025-08-17 07:24:17.815316"
130,"CMCSA","2024-06-30","2024-Q2","29688000000","7961000000","21727000000","15092000000","6635000000","3929000000","1.0122","1.0000","9741000000","2025-08-17 07:24:17.830473"
131,"CMCSA","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"0.9700","0.9700",NULL,"2025-08-17 07:24:17.845582"
132,"CMCSA","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:17.860726"
133,"XOM","2025-06-30","2025-Q2","79477000000","61530000000","17947000000","9036000000","8911000000","7082000000","1.6400","1.6400","16951000000","2025-08-17 07:24:20.799475"
134,"XOM","2025-03-31","2025-Q1","81058000000","62573000000","18485000000","8639000000","9846000000","7713000000","1.7600","1.7600","17507000000","2025-08-17 07:24:20.83247"
135,"XOM","2024-12-31","2024-Q4","81058000000","63811000000","17247000000","9474000000","7773000000","7610000000","1.7200","1.7200","16695000000","2025-08-17 07:24:20.84907"
136,"XOM","2024-09-30","2024-Q3","87792000000","67400000000","20392000000","9350000000","11042000000","8610000000","1.9200","1.9200","19491000000","2025-08-17 07:24:20.864387"
137,"XOM","2024-06-30","2024-Q2","89986000000","69790000000","20196000000","9300000000","10896000000","9240000000","2.1400","2.1400","19723000000","2025-08-17 07:24:20.880517"
138,"XOM","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:20.893893"
139,"XOM","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:20.898449"
140,"VZ","2025-06-30","2025-Q2","34504000000","13885000000","20619000000","12447000000","8172000000","5003000000","1.1800","1.1800","12883000000","2025-08-17 07:24:23.695486"
141,"VZ","2025-03-31","2025-Q1","33485000000","13056000000","20429000000","12451000000","7978000000","4879000000","1.1600","1.1500","12682000000","2025-08-17 07:24:23.710554"
142,"VZ","2024-12-31","2024-Q4","35681000000","15514000000","20167000000","12746000000","7421000000","5005000000","1.1900","1.1800","12718000000","2025-08-17 07:24:23.724427"
143,"VZ","2024-09-30","2024-Q3","33330000000","13240000000","20090000000","14164000000","5926000000","3306000000","0.7800","0.7800","10432000000","2025-08-17 07:24:23.745167"
144,"VZ","2024-06-30","2024-Q2","32796000000","12471000000","20325000000","12507000000","7818000000","4593000000","1.0900","1.0900","12215000000","2025-08-17 07:24:23.766082"
145,"ABT","2025-06-30","2025-Q2","11142000000","4854000000","6288000000","4236000000","2052000000","1779000000","1.0221","1.0100","3048000000","2025-08-17 07:24:26.583103"
146,"ABT","2025-03-31","2025-Q1","10358000000","4468000000","5890000000","4197000000","1693000000","1325000000","0.7600","0.7600","2665000000","2025-08-17 07:24:26.611554"
147,"ABT","2024-12-31","2024-Q4","10974000000","4942000000","6032000000","4121000000","1911000000","9229000000","5.3295","5.2700","2973000000","2025-08-17 07:24:26.623725"
148,"ABT","2024-09-30","2024-Q3","10635000000","4698000000","5937000000","4078000000","1859000000","1646000000","0.9490","0.9400","2883000000","2025-08-17 07:24:26.638029"
149,"ABT","2024-06-30","2024-Q2","10377000000","4603000000","5774000000","4105000000","1669000000","1302000000","0.7483","0.7400","2552000000","2025-08-17 07:24:26.649628"
150,"KO","2025-06-30","2025-Q2","12535000000","4714000000","7821000000","3502000000","4319000000","3810000000","0.8900","0.8800","5520000000","2025-08-17 07:24:29.536705"
151,"KO","2025-03-31","2025-Q1","11129000000","4163000000","6966000000","3248000000","3718000000","3330000000","0.7700","0.7700","4711000000","2025-08-17 07:24:29.569384"
152,"KO","2024-12-31","2024-Q4","11544000000","4613000000","6931000000","4066000000","2865000000","2195000000","0.5100","0.5100","3513000000","2025-08-17 07:24:29.582989"
153,"KO","2024-09-30","2024-Q3","11854000000","4664000000","7190000000","3674000000","3516000000","2848000000","0.6600","0.6600","4073000000","2025-08-17 07:24:29.598294"
154,"KO","2024-06-30","2024-Q2","12363000000","4812000000","7551000000","3580000000","3971000000","2411000000","0.5600","0.5600","3715000000","2025-08-17 07:24:29.612408"
155,"KO","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:29.6273"
156,"KO","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:29.641055"
157,"NKE","2025-05-31","2025-Q2","11097000000","6628000000","4469000000","4148000000","321000000","211000000",NULL,NULL,"518000000","2025-08-17 07:24:32.800002"
158,"NKE","2025-02-28","2025-Q1","11269000000","6594000000","4675000000","3887000000","788000000","794000000","0.5400","0.5400","1030000000","2025-08-17 07:24:32.831416"
159,"NKE","2024-11-30","2024-Q4","12354000000","6965000000","5389000000","4005000000","1384000000","1163000000","0.7800","0.7800","1569000000","2025-08-17 07:24:32.84546"
160,"NKE","2024-08-31","2024-Q3","11589000000","6332000000","5257000000","4048000000","1209000000","1051000000","0.7000","0.7000","1393000000","2025-08-17 07:24:32.859068"
161,"NKE","2024-05-31","2024-Q2","12606000000","6972000000","5634000000","4088000000","1546000000","1500000000","0.9900","0.9900","1750000000","2025-08-17 07:24:32.875244"
162,"NKE","2024-02-29","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"0.7700","0.7700",NULL,"2025-08-17 07:24:32.890029"
163,"NKE","2023-11-30","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:32.898126"
164,"PEP","2025-06-30","2025-Q2","22726000000","10304000000","12422000000","8773000000","3649000000","1263000000","0.9200","0.9200","2808000000","2025-08-17 07:24:35.759853"
165,"PEP","2025-03-31","2025-Q1","17919000000","7926000000","9993000000","7410000000","2583000000","1834000000","1.3400","1.3300","3435000000","2025-08-17 07:24:35.772075"
